degree,symbol,meaning
1,海から現れる女性、アザラシも彼女を抱きしめる,苦悩、葛藤、障害、環境変化、方向転換
2,グループを楽しませているコメディアン,ユーモア、客観性、自己観察、現実との向き合い、新たな状況
3,カメオに彫られた男の肖像が国を象徴する,象徴的な人物、成功者、地位の確立、大きな可能性
4,人目を忍んで散歩をする恋人たち,生命の燃焼、愛情問題、カルマによる関係
5,羽根の生えた三角形,白昼夢、非現実性、現実逃避、社会不適応、浄化
6,一辺が光り輝く四角形,強引さ、実行力、リーダーシップ、変化する力、新しいものへの意欲
7,同時に2つの領域で巧みに表現する男性,分離、別離、絶望、中止、辞退、不正
8,東風に揺れるリボンのついた大きな帽子,保護、防御、安全志向、過敏、インスピレーション
9,水晶占い師,思考の構築、全体像の把握、先見性
10,古い象徴の新しい形を教える男性教師,方向転換、混乱の収拾、挫折、新しい視野
11,国の支配者,権力、管理、指導、保守、強いエゴ
12,野鴨の群れ,想像、表現、探求、技術、専門分野
13,不発弾,不満、抑圧、急な行動、上昇志向、新企画
14,男女のそばでとぐろを巻く蛇,争い、不仲、否定、感情的な衝突、ネガティブ思考
15,毛布を編むインディアン,社会的目標の達成、精神的な強さ、生活力、プレッシャー
16,日没の光の中で踊る精霊,生命の活性化、生きる喜び、励まし、セラピー
17,人の堅苦しい未婚の高齢女性,気持ちの落胆、生命力の低下、心の病、平凡な生活
18,空のハンモック,堅実な生活、金銭へのこだわり、ありふれた願望、政治力
19,魔法のじゅうたん,価値観の変化、新たなビジョン、夢、幻想
20,冬に鳥に餌を与える少女,慈愛、奉仕、献身、助けること、助けられること
21,リングに上がる拳闘士,戦闘、行動、活力、男性的、理想の追求、幸運
22,願望の庭へと続く門,忍耐を強いられること、挫折、心配、一般的な生活
23,重くて価値があるがベールに包まれた荷物を運ぶ淡い色の服を着た女性,努力による到達、ある程度の成功、社会的に認められること
24,風が吹き込み、開かれた窓のカーテンが豊穣の角の形になる,幸福、祝福、充実した生活、高次元の力
25,二重の約束,専門、才能、芸術、職人的、個性
26,持ちきれないほどの贈り物を所有する男性,大きな可能性、裕福、社会的な成功、特別な目的
27,想像の中で復活する失われた機会,再スタート、方向転換、困難の克服、カルマの解消
28,落胆した大観衆,混乱、思い込み、失敗、反省の必要性
29,歌を歌う天空の合唱団,啓示、直感、自己実現、新たな世界への興味
30,アヒルの池とそのヒナたち,特定のものに対する集中、安定した生活の実現
31,清らかな山の小川,運命の変化、激動の人生、予想外の成功
32,電磁波の嵐,突然の不幸、事故、カルマ、過去からの脱却
33,クローバーが咲く芝生に足を踏み入れる,自然に生きる、運命に逆らわない、順応、ある程度の目標達成
34,虹の端にある金の壷,魂の交流、金、文化、教育、メディア、芸能、IT、宗教、精神世界
35,開かれた墓の前に立つ未亡人,過去からの脱却、新たな出発、役割の放棄
36,渓谷にかけられた建設中の橋,分裂、別離、新たな道、困難の克服
37,サマリアの女,覚醒、深い意識、未知の世界、新たな存在、魅力的
38,雪と共にないソリ,幸せな生活、話題の中心、人気、夢の実現
39,飾られたクリスマスツリー,再スタートの必要、ネガティブな体験、精神的な鍛錬
40,赤十字の看護師,慈悲、協調、人間性の尊重、助けること、助けられること
41,花に水をあげる女性,エゴによる成長、エゴから学ぶ人生、自己脱皮
42,ウィンドウショッピングをする人々,社会的願望の達成、地位の獲得、成功、企画と将来像
43,荷物を運ぶ男性,権力への屈服、強い圧力、運命に従うことの苦しみ
44,模索している貝殻と遊んでいる子供たち,活力のある人生、明るさ、人気、芸能、良い人間関係
45,マフラーと粋なシルクハットを身に着けた男性,地位の喪失、失脚、転落、逆境
46,神秘を暴くのために無駄な努力をする老齢の男性,先駆者、変化、未曾有の状況、長期的な抑圧
47,剣とたいまつの象徴的な戦い,新たな価値観、目的の追求、上昇、献身的
48,バッグを窓から外に出している女性,自我の挫折、物質的な諦め、過去世の清算
49,大洋から浮上する新大陸,新たなチャンス、自己実現、情報、教育
50,雲を作り流していく風,幸運、名声、高い評価、霊的な充足、未知の世界
51,開いた本を指し示す指,理想への熱中、人生における破壊と創造
52,荒れた水の上を飛ぶ白い鳩,トラブル時の自分を信じる力、強さへの試練、信仰、使命
53,宝石店,社会的地位の獲得、才能が認められること
54,骸骨の締め具をつけて馬にまたがっている男性,戦闘、サバイバル、至急解決する必要のあること
55,広大で手入れの行き届いた公共の公園,安定した生活、専門知識の習得、常識からの脱却
56,愛する人にセレナーデを歌うスペイン人,役割の遂行、組織の歯車、義務と責任
57,ビーズを売るインディアンの女性,芸術的な才能、華やかな生活への憧れ
58,成熟したロマンスによって求められた女性,熱狂、集中、霊的な意識、常軌を逸した生活、再スタート
59,テーブルの前の2人の靴職人,人間の二面性、裏切り、悲しみ、高次元のエネルギー
60,古い芝地を行進する孔雀,遺伝、家系、持って生まれた素質
61,静かな水に浮くガラス底のボート,新たな世界への好奇心、新たな人間関係、知的な発展
62,こっそりと靴下にプレゼントを入れるサンタクロース,純真無垢、心からの喜び、無知、失敗、挫折
63,テュイルリー庭園,保身、打算、計画、戦略、政治、社会性
64,ヒイラギとヤドリギ,懐かしむ気持ち、感傷的、悲哀、心理
65,過激な雑誌,体制の変更、根本的な環境変化、新たな状況の渇望
66,石油の掘削,能力の発揮、社会的地位の獲得、利益、権力
67,古臭い井戸,才能、純粋、恋、夢の実現、幸運
68,産業労働者のストライキ,争い、対立、分裂、暴力、カルマ、心霊的な危険
69,矢でいっぱいの矢筒,問題の解決、困難の克服、援助の必要性
70,急降下する飛行機,人生の賭け、リスクを冒しての成功、大胆な行動力
71,経験に基づいた現実主義の新たな道,チャンスの活用、成功、情熱、自己実現
72,生意気に自己主張をする少女トプシー,過去の清算、新たな時代、新たな価値観
73,偉大なピアニストの演奏会,優れた才能や技術、豊かな発想力、名声の獲得
74,テレパシーによる会話,人類の叡智、霊能力、克己心、行動力
75,お喋りをしている2人のオランダ人の子供,好意的、友人、援助者、連帯感、希望
76,熱弁する女性参政権活動家,特定のものに対する集中、自己主張、支配願望
77,成熟した大人の思考へと変わる若者の思考,思考の発展、精神的な苦悩、責任、リーダーシップ
78,中国語を話す2人の中国人男性,叡智からの学び、仕事への注力、技術の習得、研究や探求
79,多数の古典書物,専門知識、特殊技能、研究、学問、宇宙論
80,カフェテリア,消耗、空虚、疲労、忍耐、限定的な環境
81,労働者のデモ,感情の爆発、自由への渇望、改善、革命、破壊
82,民族舞踊,生命力、楽しみ、自然の恵み、社会への参加
83,木の高いところにある巣の中の3羽の雛,新しい状況の必要性、変化、別離、決断
84,氷上でスケートをする子供たち,精神的な成長、逆境を生き抜く力、制限されている環境
85,ヤシの木を刈る男性,成功、成長、発展、拡大、能力、技術
86,森の中にある冬霜,厳しい現実、苦い経験、物事の本質の認知
87,森から現れるジプシー,自己実現、文化的な才能、社会的な可能性、幸運な人生
88,破産宣告された男性,破産、倒産、経済的な困難、過去からの脱却
89,春を告げるモッキンバード,創造力、芸術性、生活の潤い、安定志向
90,水浴びをする美女たち,特別な才能、社会的な成功、人気者
91,巻かれたり広げられたりする船の旗,カルマの経験、困難の乗り越え、失敗からの学び、新たな道
92,広大な場所の上に吊るされた男性,飛躍、地位の獲得、漠然とした不安、精神的な重圧
93,毛深い鹿を先導する毛皮に包まれた男性,孤立、疎外、抑圧、受難、トラブル、過酷な環境
94,ネズミと口論する猫,言い争い、喧嘩、不和、エゴの浄化、感情の昇華
95,電車に破壊された自動車,環境の不一致、自我の敗北、挫折、忍耐
96,巣を作る猟鳥,新たな生き方、環境の変化、冒険、別れ
97,月明かりの夜の2人の妖精,不思議な力、霊感、ポリシーの決定、別離、絶望
98,服を着てパレードするウサギたち,模倣による習得、不慣れな経験、未知への挑戦
99,魚を捕まえようとして水の中に手を伸ばす小さな女の子,理解、吸収、知的な進歩、社会性、精神性
100,完全にはカットされていない大きなダイヤモンド,目的に対する情熱、強引な実行力、挫折の乗り越え
101,しかめっ面をするピエロ,変化への対応、立場の維持、指導的役割
102,メッセージを持った赤ちゃんの世話をする中国人女性,知的な探求心、研究、調査、学習、集中
103,特徴のある親指で少し曲げられた手,ネガティブな決断、精神的な緊張、苦しみ、死
104,北東の大きくて暗い空間に向いている老人,ライフワーク、名声、真理の探究、最後まで連れ添う人
105,食べ過ぎながら楽しんでいる人たちのグループ,経済的な豊かさ、財産、利益の追求
106,広場の前で手書きの巻物を広げる男性,落ち込み、価値観の内省、精神的な障害
107,知識と生命に成長する胚芽,可能性の追求、自己革新、自由、解放
108,雛鳥のために土をほじくる雌鳥,平均的な生活、生活の義務、家庭
109,結婚式を執り行う司祭,社会的な認知、名声、成功、結婚、未知
110,セレナーデを歌うゴンドラ乗り,幸運、至福、成功、素晴らしい人生
111,歌っている有名な女性オペラ歌手,社会的な成功、満足、行動力、冷静さ
112,ヨットを待っている女性,未達成、挫折、失敗、逆境、苦境、我慢
113,文学界の集まり,社会的な認知、学問、研究、幸運
114,南向きの日が差す場所に立つ1人の女性と2人の男性,相互依存、狭い視野、狭い環境、家庭内
115,右肩越しに突然投げられたマントまたは黒い影,才能の発揮、専門技術の習得、己の哲学
116,豪華さに満足と幸福を感じて長机の上で読書をする人々,経済的な豊かさ、利益の追求、援助、スポンサー
117,渓谷での嵐,不幸、争い、圧迫、逆境、カルマに起因する現実
118,現代の少女ポカホンタス,環境の変化、運命の変化、混乱、動揺、失敗
119,双子の体重を量るミューズ,思考力の発達の必要性、理性と感情、選択
120,アメリカ独立戦争の娘,保守的な生き方、自己確立、伝統回帰、通常の生活
121,脳溢血の症例,危険、危機、冒険、悲しみ、使命の確認
122,おたふく風邪の流行,危険の拡大、過去からの脱却、カルマの清算
123,髪型をボブにした女性,立場の喪失、辞職、独立、厳しい現実
124,正装した男性と角を刈られた鹿,自己主張、個人行動、パワフル、才能、成功
125,絶壁の端にある岩の形,苦しみ、非情、冷たい現実、変化の必要性
126,古風な女性と現代的な少女,社会との関わり、仕事、生活のための戦い
127,夜空の星座,真理の探究、精神性の重視、未知の方向、名声の獲得
128,革命思想を広める活動家,人気、強い自我、破壊と創造、変革、新たな状況
129,ガラス吹き職人,苦難の乗り越え、やり直し、再出発、新しい生活、魂の復活
130,早朝の露,試練、苦しみの克服、精神的な成長、自己理解
131,大きな樫の木にぶら下がっているブランコで遊ぶ子供たち,環境への気配り、思い込み、葛藤、克服
132,夕方のガーデンパーティー,エリート、優雅、余暇、娯楽、人間関係
133,揺れている年老いた船長,自己実現、成功、困難の乗り越え、苦労人、自信の獲得
134,表現の機会を待っている人間の魂,チャンスの活用、成功、名声、人気、仕事、行動力
135,山車,成功、願望の達成、充実した生活、良きパートナー
136,嵐の後の日差し,危機の乗り越え、立場の確立、大きな仕事
137,ベストを着ていない聖歌隊,集団への献身、組織の目的、個の犠牲、ボランティア
138,化学の教師,研究、探求、体系的な法則、専門知識、集中力
139,ハウスボートパーティー,立場の喪失、失脚、挫折、苦悩、新たな世界
140,ズニ族の太陽崇拝者,社会的な認知、人気や名声の獲得、成功、至福
141,興奮してめまいを起こした鶏,強力な破壊力、莫大なエネルギー、幻覚作用
142,伝書鳩,使命、奉仕、勤労、環境への順応、安定した生活
143,巧みな馬乗り,優れた技術の習得、芸術的な創造力、自己表現、個性的
144,身だしなみが整っていない男性,問題解決の必要性、感情のコントロール、変化、分裂、別れ
145,砂漠を横切る大きなラクダ,一つのことへの集中、専門的な能力、知的な成長、粘り強さ
146,虹,新しい時代を手掛ける、変化、使命、自己実現
147,夜明け,希望の実現、多くのチャンス、芸術的な才能、文化
148,大きな木の枝にとまるたくさんの小鳥,可能性の目覚め、転換、集中、熱狂、危険、異常
149,人魚,迷い、悲しみ、無力、無意識、思考力の低下、幼児性
150,開封された手紙,幸運の共有、意見交換、教示、知識
151,男性の頭,観察力、洞察力、思考の発達、知的好奇心、新たな世界
152,掲げられた大きな白い十字架,トラブル、苦難、犠牲、試練、孤立、再生、再活性
153,2人の守護天使,プレッシャー、苦しい状況、守護の到来、新たな可能性
154,一緒に遊んでいるさまざまな国の子供たち,偏見の排除、強い連帯感、潜在的な可能性
155,妖精の夢を見る男性,想像力の発達、思考の実現、新たな考え、夢、祈り
156,メリーゴーランド,強い自我、自己中心的、能力の開発、新たな環境
157,ハレム,安定しているが退屈な生活、虚しさ、倦怠、待機、不安
158,初めてのダンスレッスン,コミュニケーションの難、情緒不安定、混乱、分裂、苦悩
159,未来派の絵を描く男性,独創性、個性、人気、チャンス、成功
160,影の向こうを覗く2つの頭,見たくない現実、裏切り、絶望、恐怖、動揺
161,母親の期待の型にはめられた息子,願望の実現、意識の現実化、特定の道、集中力
162,ベールをはずされた花嫁,秘密の露見、真実を知ること、苦難、落胆、神秘
163,政治ヒステリーを鎮静化する力強い手,社会的な権力、有力者からの援助、カリスマ性、克己心
164,家系図,家族愛、同族意識、仲間の連帯感、集団への帰属
165,見事な装飾のハンカチーフ,重大な方向転換、生きるための努力や戦い、強いプレッシャー
166,オランウータン,カルマ的な人間関係の対立、過去世の敵、厳しい状況
167,噴火している火山,意識的な破壊、清算、浄化、過去との決別、社会的地位の向上
168,ウィジャボード,高度な探求、専門技術、学問、神秘、占星術
169,水泳のレース,集団に属すること、組織の立ち上げ、社会的な行動
170,車のキャラバン隊,組織での仕事、社会制度、プレッシャー、不安、使命、責任
171,女子バスケットボールチーム,社会的な指導、リーダーシップ、協調性、誠実、純粋
172,王家の紋章,高い社会的地位、物質的満足、単調な生活、保護、空虚、退屈
173,動物の調教師,厳しい状況、苦しい決断、過去との決別、悲哀、別れ
174,メリーさんと白い子羊,狭い人間関係、精神的な重圧、苦労、試練、純粋、固執
175,半旗として掲げられた旗,社会的な認知、立場の確立、能力の進化、自己浄化
176,香炉を持つ少年,宗教、心霊現象、組織への参加、前向きな人生
177,お茶会に集う貴婦人たち,文化的、芸術、豪華、人気、幸運、裕福、チャンス
178,禿頭の男性,社会的義務の遂行、重い責任、地位を守ること、熱心、熱狂
179,読んでいる書類から秘密の知識を得る男性,自己実現、自己探求、目的への集中、才能の開花、霊的な成長
180,急ぎの仕事に集中していたために耳に入らなかった間違い電話,使命への全力集中、徹底的な追求、現実の直視、新境地
181,針に刺され完全な標本となった蝶,死、犠牲、過去との決別、方向転換、新たな世界
182,6番目の部族の光が7番目のものに変容する,新たな状況、義務の遂行、創造的な才能、考えの変容
183,新しい日の夜明け、全てが変わった,突発的な変化、ターニングポイント、新たなアイデンティティ
184,キャンプファイヤーを囲むグループ,家庭、趣味のグループ、親密な人間関係、熱中、熱心
185,真の内面的価値を教える男性,人生の目的、心の整理、組織との関わり、社会的な認知
186,男性の理想は十分に結晶化される,理想の実現、仕事への集中、強い意志、強引、悲しみ
187,鶏に餌を与え鷹から守る女性,絶望、苦悩、悲哀、別離、分裂、変化、霊的能力
188,廃屋の中で火が燃えている暖炉,保護、救いの手、癒し、新たな希望、再スタート
